iter	RMSE
0	24.88772963
1	22.96781275
2	21.3199561
3	19.91661776
4	18.75657648
5	17.77262176
6	16.9491783
7	16.27254655
8	15.70550385
9	15.23756975
10	14.86115191
11	14.55216604
12	14.30065059
13	14.10012327
14	13.93685999
15	13.80282482
16	13.69517836
17	13.60748506
18	13.53820695
19	13.48166914
20	13.43298503
21	13.39402477
22	13.36473365
23	13.33849621
24	13.31921717
25	13.30060159
26	13.28532515
27	13.27392461
28	13.26388164
29	13.25378296
30	13.24709563
31	13.24004506
32	13.23305524
33	13.22745522
34	13.22250879
35	13.2191467
36	13.21529031
37	13.21142601
38	13.20831436
39	13.2048398
40	13.20191137
41	13.1998954
42	13.19778351
43	13.19594915
44	13.1945236
45	13.19240234
46	13.19014272
47	13.18868048
48	13.18717737
49	13.18559457
50	13.18380994
51	13.18251586
52	13.18110333
53	13.17951728
54	13.17814652
55	13.17680103
56	13.17519669
57	13.17389428
58	13.17274649
59	13.17189579
60	13.17089497
61	13.16979665
62	13.16893142
63	13.16811582
64	13.16745939
65	13.16669927
66	13.16587537
67	13.16542239
68	13.16427783
69	13.16348776
70	13.16277663
71	13.16175015
72	13.16081269
73	13.16008817
74	13.1593167
75	13.15766285
76	13.15673657
77	13.15610991
78	13.15579298
79	13.1547977
80	13.15415021
81	13.15354101
82	13.15278772
83	13.15218405
84	13.15131865
85	13.15011372
86	13.1495133
87	13.1488185
88	13.14829429
89	13.14732246
90	13.14655583
91	13.14570155
92	13.14511764
93	13.14395389
94	13.14352759
95	13.14287386
96	13.14247608
97	13.14149831
98	13.14056135
99	13.13979854
100	13.13874819
101	13.13824206
102	13.13799093
103	13.13734465
104	13.13682361
105	13.1362625
106	13.13552972
107	13.13497604
108	13.13452367
109	13.13409946
110	13.13313875
111	13.132635
112	13.13191381
113	13.13126677
114	13.13077177
115	13.13013975
116	13.12954312
117	13.1285585
118	13.12811779
119	13.12736506
120	13.1265217
121	13.12577828
122	13.12503068
123	13.12452083
124	13.12388049
125	13.12335159
126	13.12274848
127	13.12220009
128	13.12151908
129	13.12102686
130	13.12020121
131	13.11949065
132	13.11859473
133	13.11751451
134	13.11717865
135	13.11671546
136	13.11599883
137	13.11523929
138	13.11474927
139	13.11409646
140	13.11348466
141	13.1123448
142	13.11148759
143	13.11104035
144	13.11062693
145	13.11014379
146	13.10968176
147	13.10881807
148	13.10821362
149	13.10769821
150	13.10735904
151	13.10679048
152	13.10624483
153	13.10567813
154	13.10521117
155	13.1046654
156	13.10414263
157	13.10341701
158	13.10279355
159	13.10232609
160	13.10192822
161	13.10144896
162	13.10077694
163	13.1000528
164	13.09941667
165	13.09879041
166	13.09842418
167	13.09782333
168	13.09743768
169	13.09691547
170	13.09581869
171	13.09474661
172	13.09429995
173	13.09374131
174	13.09313129
175	13.09226186
176	13.09180272
177	13.09136472
178	13.09075208
179	13.09040952
180	13.08968453
181	13.08904024
182	13.08848638
183	13.08783266
184	13.08737886
185	13.08656099
186	13.08601467
187	13.0855559
188	13.08521433
189	13.08440287
190	13.0839325
191	13.08331175
192	13.08276789
193	13.08223316
194	13.08165708
195	13.080911
196	13.08035537
197	13.07986759
198	13.07944019
199	13.07897263
200	13.07853748
201	13.0781072
202	13.07749342
203	13.0771724
204	13.07657034
205	13.07596205
206	13.07549821
207	13.07493204
208	13.07457166
209	13.07427216
210	13.07384595
211	13.07341572
212	13.07267219
213	13.07216488
214	13.07176076
215	13.07136205
216	13.07094337
217	13.07066296
218	13.07025599
219	13.06988018
220	13.06955216
221	13.06921659
222	13.06878095
223	13.06832332
224	13.06801638
225	13.06760152
226	13.06719596
227	13.06683897
228	13.06610473
229	13.06563805
230	13.06504617
231	13.06463594
232	13.0643146
233	13.06388617
234	13.06350708
235	13.06288137
236	13.06227181
237	13.06159831
238	13.06111366
239	13.0608018
240	13.06037792
241	13.05980021
242	13.05918083
243	13.05886631
244	13.05834253
245	13.0579668
246	13.05751135
247	13.05687884
248	13.05659297
249	13.0559447
250	13.0555084
251	13.05515007
252	13.05468997
253	13.05430516
254	13.05400288
255	13.0530986
256	13.05275429
257	13.05245532
258	13.05223836
259	13.05170487
260	13.05107427
261	13.05084277
262	13.05050364
263	13.04988526
264	13.04942767
265	13.04908435
266	13.04856551
267	13.04822955
268	13.04791118
269	13.04764426
270	13.04718553
271	13.04679079
272	13.04625984
273	13.04573103
274	13.04535548
275	13.04511134
276	13.04469522
277	13.04421854
278	13.04376344
279	13.04304912
280	13.04271135
281	13.0422274
282	13.041903
283	13.04171753
284	13.04128151
285	13.04094089
286	13.04039395
287	13.03990865
288	13.03941417
289	13.03907495
290	13.03868633
291	13.03827361
292	13.03796859
293	13.037626
294	13.03718229
295	13.03662155
296	13.03634105
297	13.03602698
298	13.03572266
299	13.03524408
300	13.03452521
301	13.03400277
302	13.03372229
303	13.03343845
304	13.03279604
305	13.03241214
306	13.0319283
307	13.03143874
308	13.03098046
309	13.03060324
310	13.03007437
311	13.02979599
312	13.02951459
313	13.0292476
314	13.02879413
315	13.02850944
316	13.02809743
317	13.02757777
318	13.02724813
319	13.02698494
320	13.02665999
321	13.02643051
322	13.02609962
323	13.0257275
324	13.02547274
325	13.02520409
326	13.02490785
327	13.02452973
328	13.02406633
329	13.02344715
330	13.02287273
331	13.02244965
332	13.02208193
333	13.02175571
334	13.02126635
335	13.0209963
336	13.0207197
337	13.02015927
338	13.01979001
339	13.01949181
340	13.01916846
341	13.01888782
342	13.01851785
343	13.01827323
344	13.01801176
345	13.01768325
346	13.0173888
347	13.01705703
348	13.01669152
349	13.01641786
350	13.01617702
351	13.01581301
352	13.01517902
353	13.01476503
354	13.01451231
355	13.01402096
356	13.01373238
357	13.01343469
358	13.01319309
359	13.01253085
360	13.0120769
361	13.01180248
362	13.01141927
363	13.01111095
364	13.0108601
365	13.0105139
366	13.01018581
367	13.00990184
368	13.00937095
369	13.00919675
370	13.00873409
371	13.00844788
372	13.00818616
373	13.00790852
374	13.00767068
375	13.00738089
376	13.00707898
377	13.00678664
378	13.00650194
379	13.00618745
380	13.00588065
381	13.00566115
382	13.0053629
383	13.00491691
384	13.00438844
385	13.00396639
386	13.00367056
387	13.00345698
388	13.00298293
389	13.00249757
390	13.00227804
391	13.00189876
392	13.00167644
393	13.00130931
394	13.00087084
395	13.00034234
396	12.99989379
397	12.99945956
398	12.99917651
399	12.99887063
400	12.99858331
401	12.99820921
402	12.99791836
403	12.99750672
404	12.99712102
405	12.99692699
406	12.99663247
407	12.99642929
408	12.99608126
409	12.9955722
410	12.99504784
411	12.99457565
412	12.99430982
413	12.99398207
414	12.99357848
415	12.99331337
416	12.99300255
417	12.99279797
418	12.99252118
419	12.99217037
420	12.99187904
421	12.991496
422	12.99126929
423	12.9910372
424	12.99063001
425	12.9904675
426	12.98998292
427	12.9896335
428	12.98934445
429	12.98909373
430	12.98879254
431	12.98835972
432	12.98803863
433	12.98781983
434	12.98743027
435	12.98703576
436	12.98625289
437	12.98610621
438	12.98586667
439	12.98564504
440	12.98533888
441	12.98515541
442	12.9846021
443	12.98411358
444	12.98384445
445	12.98360715
446	12.98329644
447	12.98307951
448	12.98281022
449	12.98244024
450	12.9821757
451	12.98177747
452	12.98160821
453	12.98130548
454	12.98083794
455	12.98059742
456	12.98036245
457	12.98004857
458	12.97978006
459	12.97944629
460	12.97922368
461	12.97901096
462	12.97858206
463	12.97825443
464	12.97794226
465	12.97774373
466	12.97745365
467	12.97709535
468	12.97687122
469	12.97644044
470	12.97624233
471	12.97604004
472	12.97577377
473	12.97542417
474	12.97521915
475	12.97484089
476	12.97474133
477	12.97428913
478	12.97411594
479	12.97377396
480	12.97355597
481	12.97304139
482	12.97268686
483	12.97230127
484	12.97206311
485	12.97178404
486	12.97142597
487	12.97112791
488	12.970781
489	12.9705022
490	12.970132
491	12.96976356
492	12.96951288
493	12.96915217
494	12.96880795
495	12.96838279
496	12.96808587
497	12.96776302
498	12.9675262
499	12.96711283
500	12.96673424
501	12.96640307
502	12.96608531
503	12.96579599
504	12.96552243
505	12.96519219
506	12.96498056
507	12.96463742
508	12.96438361
509	12.96405536
510	12.96382762
511	12.96358372
512	12.96338962
513	12.96293148
514	12.96254328
515	12.9622891
516	12.96204191
517	12.96166037
518	12.96145522
519	12.96114887
520	12.96083868
521	12.96065619
522	12.96017412
523	12.95993727
524	12.95957841
525	12.95927842
526	12.95905313
527	12.9588193
528	12.95856533
529	12.95826953
530	12.95801269
531	12.95769731
532	12.95740542
533	12.95698898
534	12.95677796
535	12.95633945
536	12.95612273
537	12.95589364
538	12.955667
539	12.95525526
540	12.95495242
541	12.95472644
542	12.95444767
543	12.95426343
544	12.95408762
545	12.95385991
546	12.95357792
547	12.95336561
548	12.95313102
549	12.95291026
550	12.95263951
551	12.95242888
552	12.95216144
553	12.95154787
554	12.95139457
555	12.95114039
556	12.95094169
557	12.95056568
558	12.95033969
559	12.95002269
560	12.94949076
561	12.94930384
562	12.94905247
563	12.94884493
564	12.94860954
565	12.94837339
566	12.94817186
567	12.94799086
568	12.94782088
569	12.94757856
570	12.94739119
571	12.94709041
572	12.94687486
573	12.94672621
574	12.9465359
575	12.94636995
576	12.94597549
577	12.94583903
578	12.94559286
579	12.9453503
580	12.94503977
581	12.94491492
582	12.94450218
583	12.94431412
584	12.94414683
585	12.94383466
586	12.94364922
587	12.94325724
588	12.94296071
589	12.9426767
590	12.94251419
591	12.94229217
592	12.94202422
593	12.94170777
594	12.94117179
595	12.94093616
596	12.94037909
597	12.93999471
598	12.93984125
599	12.93963073
600	12.93942323
601	12.93907878
602	12.93852988
603	12.93841515
604	12.93801525
605	12.93782168
606	12.93754541
607	12.93730516
608	12.93702838
609	12.93687062
610	12.93672
611	12.93649407
612	12.93636366
613	12.93624837
614	12.93611801
615	12.9356391
616	12.93529179
617	12.93509784
618	12.93490803
619	12.9344932
620	12.93424434
621	12.93403767
622	12.93373585
623	12.93355354
624	12.93336468
625	12.93312855
626	12.93273595
627	12.93221386
628	12.93196925
629	12.93173282
630	12.93143777
631	12.93119955
632	12.93077915
633	12.93038297
634	12.93000986
635	12.92962481
636	12.92927042
637	12.9287478
638	12.92849207
639	12.92806851
640	12.92786009
641	12.9276896
642	12.9274599
643	12.92718983
644	12.92698835
645	12.92664854
646	12.92637823
647	12.92612467
648	12.9259126
649	12.92571305
650	12.92553326
651	12.92540422
652	12.92511028
653	12.92489004
654	12.9247182
655	12.92460537
656	12.92439877
657	12.92396832
658	12.92373545
659	12.92335504
660	12.92316084
661	12.92297922
662	12.92272882
663	12.92252174
664	12.9223045
665	12.92208185
666	12.92174921
667	12.92150233
668	12.92114925
669	12.92076032
670	12.92050229
671	12.92028795
672	12.92015936
673	12.91991337
674	12.91967958
675	12.91952525
676	12.91930044
677	12.91904597
678	12.91883767
679	12.91861198
680	12.91827525
681	12.91797999
682	12.9173365
683	12.91704988
684	12.91685137
685	12.91671827
686	12.91656842
687	12.91635491
688	12.91618546
689	12.91599559
690	12.91576115
691	12.91550549
692	12.91521824
693	12.91484999
694	12.91464246
695	12.91427461
696	12.91405229
697	12.91378208
698	12.91355398
699	12.91314614
700	12.91277784
701	12.91258594
702	12.9123591
703	12.91203802
704	12.91156811
705	12.91135623
706	12.91114818
707	12.9108381
708	12.91061894
709	12.91037201
