iter	Passed	Remaining
0	191	190893
1	238	118998
2	282	93964
3	320	79867
4	361	71844
5	405	67193
6	464	65831
7	505	62712
8	547	60309
9	588	58238
10	632	56894
11	687	56644
12	734	55776
13	780	54935
14	819	53784
15	861	52952
16	945	54668
17	985	53779
18	1028	53098
19	1067	52310
20	1110	51777
21	1152	51237
22	1195	50791
23	1237	50318
24	1276	49792
25	1327	49715
26	1365	49217
27	1406	48824
28	1448	48496
29	1488	48120
30	1532	47899
31	1583	47892
32	1629	47762
33	1676	47637
34	1719	47416
35	1764	47237
36	1806	47020
37	1845	46724
38	1887	46500
39	1926	46247
40	1968	46041
41	2018	46031
42	2062	45896
43	2106	45771
44	2150	45644
45	2196	45544
46	2237	45362
47	2276	45155
48	2315	44936
49	2349	44635
50	2384	44371
51	2421	44144
52	2465	44058
53	2500	43802
54	2539	43626
55	2574	43401
56	2613	43235
57	2656	43143
58	2700	43071
59	2745	43012
60	2788	42930
61	2828	42790
62	2865	42616
63	2903	42457
64	2955	42514
65	2995	42386
66	3030	42203
67	3066	42031
68	3104	41884
69	3137	41681
70	3180	41614
71	3216	41461
72	3259	41389
73	3298	41277
74	3331	41086
75	3366	40927
76	3404	40804
77	3443	40705
78	3480	40581
79	3516	40443
80	3551	40298
81	3591	40203
82	3628	40086
83	3669	40019
84	3706	39901
85	3745	39802
86	3784	39716
87	3824	39633
88	3862	39540
89	3910	39535
90	3957	39528
91	3997	39450
92	4032	39329
93	4068	39210
94	4107	39129
95	4145	39040
96	4177	38891
97	4215	38803
98	4250	38681
99	4286	38579
100	4325	38497
101	4366	38441
102	4404	38360
103	4436	38223
104	4470	38107
105	4505	38000
106	4544	37926
107	4591	37919
108	4629	37845
109	4669	37780
110	4710	37724
111	4757	37719
112	4798	37667
113	4838	37605
114	4876	37524
115	4915	37459
116	4956	37406
117	5000	37372
118	5034	37270
119	5079	37248
120	5121	37202
121	5155	37101
122	5189	37000
123	5230	36951
124	5265	36858
125	5299	36759
126	5332	36658
127	5366	36556
128	5400	36466
129	5435	36378
